show_id,description
s1957,"In this documentary, South African rapper Nasty C hits the stage and streets of Tokyo, introducing himself to the city's sights, sounds and culture."
s1958,A struggling fighter-turned-promoter reconnects with his estranged son to convert an old-generation robot into a mighty World Robot Boxing contender.
s1959,"Writer, director and food enthusiast Jon Favreau and chef Roy Choi explore food in and out of the kitchen with accomplished chefs and celebrity friends."
s1960,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord."
s1961,Science experts and celebrity activists unpack the ways in which the earth's soil may be the key to combating climate change and preserving the planet.
s1962,Coaches with championship résumés share their personal rules for success in sports and life in this reflective and inspiring documentary series.
s1963,The killing of Latasha Harlins became a flashpoint for the 1992 LA uprising. This documentary evocatively explores the 15-year-old's life and dreams.
s1964,"Dan, Tettsu and Chiharu leave the battles of the SWORD district behind for a carefree road trip adventure and end up working in a hot spring resort."
s1965,The five rival gangs ruling the SWORD district unite to face off against a 500-member strong attack led by a legendary gang leader.
s1966,"The peaceful truce in the SWORD district is violently disrupted by the intrusion of two brutal gangs, causing loyalties and rivalries to erupt."
s1967,"The Kuryu Group makes it their mission to takeover the SWORD district once and for all, but the street gang alliance has a plan of their own."
s1968,"As the two younger Amamiya boys search for their missing big brother, they uncover the truth about the tragedy that befell their family years ago."
s1969,The street fighters of Oya High go up against the delinquent brawlers of Housen Academy in this action-packed “High & Low” and “Crows” crossover.
s1970,Three inseparable friends are torn when one of them becomes a member of a predatory criminal syndicate threatening to overpower his old friends' gang.
s1971,"When a former criminal psychiatrist discovers that a patient holds a secret that threatens his family, he must resort to extreme measures to save them."
s1972,Married to two women – each unaware of the other – a man finds his double life threatened when an old friend who knows his not-so-little secret arrives.
s1973,"A small-town man takes on a dangerous gangster to avenge his father, a police officer who ended his own life after being framed in a deadly crime."
s1974,"A troublemaking trio dreams big, plays hard and stirs up all sorts of classroom mischief in this animated spinoff of the popular Hindi film franchise."
s1975,Knotty love triangles and nefarious schemes arise when a nobleman’s plans to remarry fall into the cunning hands of his first wife and a vengeful rival.
s1976,"Passed off as spies, two inept pals are sent to Fiji to rescue a kidnapped bureaucrat. Soon enough, they’re creating more problems than they’re solving."
s1977,"Knocked down by life one too many times, a meek family man drastically transforms from shy to savage after an encounter with a mysterious friend."
s1978,"A disillusioned Delhi wife and her new-in-town cousin navigate damning secrets, dreams and their thorny dynamic on their respective roads to freedom."
s1979,"In 1947, Mildred Ratched begins working as a nurse at a leading psychiatric hospital. But beneath her stylish exterior lurks a growing darkness."
s1980,Eight of the country's best backyard smokers and pitmasters vie for the title of American Barbecue Champion in a fierce but friendly faceoff.
s1981,"After turning himself in, a brilliant fugitive offers to help the FBI bag other baddies, but only if rookie profiler Elizabeth Keen is his partner."
s1982,Four buddies attend a class taught by a love guru who leads them to question their romantic attachments — until her hidden agenda comes to light.
s1983,"As a woman scours Hyderabad for her missing husband, she becomes entangled in a conspiracy that suggests there’s more to the mystery than meets the eye."
s1984,"Resurrected as an Arisen, Ethan sets out to vanquish the Dragon that took his heart. But with every demon he battles, his humanity slips further away."
s1985,Go backstage with beloved rap superstar Gims in the year leading up to his major 2019 Stade de France performance in this up-close documentary.
s1986,"Worlds collide when Henry makes plans to spend Saturday on the sofa watching a ""Gross Class Zero"" marathon — and his favorite characters come to life!"
s1987,"As a woman scours Hyderabad for her missing husband, she becomes entangled in a conspiracy that suggests there’s more to the mystery than meets the eye."
s1988,A young screenwriter returns to his hometown to write a script based on his childhood and discovers his neighborhood has been gentrified.
s1989,"Suddenly a widow, a woman rekindles her thirst for life by becoming a eulogist while navigating the existential landscape of death, grief and love."
s1990,"Fed up with their families and classmates, two teen girls from a wealthy part of Rome are drawn to the city's underworld and start leading double lives."
s1991,"Engineers, officials and the crew members' families provide their perspective on the 1986 Space Shuttle Challenger disaster and its aftermath."
s1992,"Within the walls of an interrogation room and with time running out, London investigators go after three suspects, each accused of a grievous crime."
s1993,"In this stand-up special, former doctor Jason Leong gives his diagnoses on the nonsense of traditional healers, business-class show-offs and more."
s1994,"When a young woman's murder shows similarities to a decade-old cold case, a new police commander must break the silence permeating an Owl Mountain town."
s1995,"In this fun, fast-paced music contest hosted by Tituss Burgess, players sing their hearts out and try to hit the right notes to win up to $60,000."
s1996,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.
s1997,"Unable to face his new reality in a wheelchair, Ángel develops a deadly obsession with the woman who left him and unleashes a sinister revenge plot."
s1998,"After a mix-up lands him in hot water, a skilled pickpocket is forced to help a no-nonsense CIA operative track a terrorist group in Paris."
s1999,This period drama set in impoverished East London in the 1950s follows a newly qualified midwife and her colleagues at a nursing convent.
s2000,"A Thai scientist and his family decide to cryonically freeze their cherished, dying toddler. This heartfelt documentary follows their journey."
s2001,"Charming comic Michael McIntyre talks family, technology, sharks, accents and the time he confused himself for a world leader in this stand-up special."
s2002,A suave teen sets his sights on a girl who seems beyond his reach. But his game can't be confined to his tiny apartment and family's old-school values.
s2003,"Many of the most popular taco styles have long, rich, little-known histories. Explore some of them in this eye-opening, mouth-watering food adventure."
s2004,"Evil magician Gargamel continues his quest to tap the power of the Smurfs, creating a pair of his own ""Smurf-alikes"" called the Naughties."
s2005,Sisters Mia and Emma move to their grandmother’s farm far from the city and save a magical unicorn from local cowboys seeking its powers for themselves.
s2006,"When their glamorous, fast-paced lifestyle comes to a screeching halt, two sisters try to rebuild their fortunes through music and enterprise."
s2007,"The Buddis bounce, spin, glide — and giggle! — through their magical world, learning new things and sharing the joy of friendship."
s2008,What does a thrill-seeker tween girl do when her mom forbids her to enter a BMX race? Cast an actor with nothing to lose to play her approving dad.
s2009,"After learning France is about to legalize pot, a down-on-his-luck entrepreneur and his family race to turn their butcher shop into a marijuana café."
s2010,"Four close friends in Los Angeles challenge and support each other through life's triumphs and disasters. Sophisticated, relatable and always funny."
s2011,"Hiccup, Toothless and a mysterious dragon rider join forces to protect the island of Berk from a power-hungry warrior with a dragon army of his own."
s2012,A street-smart dog and a pampered cat join forces to lead a pack of unlikely heroes when their city is seized by its evil mayor — and his robot army.
s2013,One family’s fight for survival in a future dystopian Madrid illustrates the disparity between two worlds separated by a fence — and so much more.
s2014,"Katherine's a single mom juggling her career, her tween daughter, her relationship with her boyfriend — and pondering getting pregnant with her ex."
s2015,"At the Comic Strip's first Arabic stand-up show, Wonho Chung ratchets up the laughs by tackling unique names, life in Jordan, accents and more."
s2016,"When a man falls from his balcony, an investigator questions the victim’s family, determined to uncover a darker truth behind the alleged accident."
s2017,"From his singular career to his personal demons, this biopic chronicles the short yet prolific life of the Marathi dentist-turned-superstar."
s2018,This first of a two-part biopic depicts the early years that lay the foundation for beloved Marathi writer and comedian P.L. Deshpande’s iconic career.
s2019,"The second installment of P.L. Deshpande’s biopic explores the Marathi humorist’s political journey, philanthropic endeavors and personal life."
s2020,"When his prized bicycle is stolen, an astrologer’s search turns into a journey of self-realization — while the thieves learn a few lessons of their own."
s2021,"Convinced only a miracle can save them from failing school exams, a trio of friends seek help from a magician. To their surprise, he gamely complies."
s2022,"Although members of the Greenleaf family run a Memphis megachurch, their business and personal lives are tainted with greed, adultery and other sins."
s2023,"Julie lost her passion for music when she lost her mom. But when three ghostly guys appear and lift her spirits, they decide to start a band together!"
s2024,"When an activist begins aiding a shrewd political advisor — also his girlfriend’s father, personal agendas lead to betrayal as love and duty clash."
s2025,Two exes run into each other at a wedding hall and realize they still harbor romantic feelings. The one problem? They just got married to other people.
s2026,"Posing as her bubbly identical twin for a quiz contest, a shy student crushes on a fellow participant, who falls for her — thinking she’s her sister."
s2027,"In a town infamous for female infanticide, a young woman’s arrival has local bachelors vying for her hand in marriage — but she has a bigger agenda."
s2028,"As he rebuilds society in a parallel universe, a superhero must return to Earth to help his equally powerful friend defend the planet from evil rivals."
s2029,"To escape conviction on criminal charges, a businessman agrees to aid a risky police mission, but his motives soon turn suspicious."
s2030,"Two years after Cole survived a satanic blood cult, he's living another nightmare: high school. And the demons from his past? Still making his life hell."
s2031,"Aboard a spaceship where souls of the deceased are readied for reincarnation, a lone crew member’s rigid existence is disrupted by a spry new assistant."
s2032,Eleven-year-old Amy starts to rebel against her conservative family’s traditions when she becomes fascinated with a free-spirited dance crew.
s2033,"Expert home organizers Clea and Joanna help celebrities and everyday clients edit, categorize and contain their clutter to create stunning spaces."
s2034,"A stone's throw from Africa, the Spanish beach town of La Línea is a drug smuggling hot spot. But the police and mayor are determined to change that."
s2035,Fernando is a family man — equally committed to each of his two families. But one wrong turn brings them crashing together.
s2036,"This documentary-drama hybrid explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations."
s2037,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out."
s2038,Two actors and a makeup artist fight to make their own way in a world that weighs the backgrounds they were born into more than their dreams.
s2039,"A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world."
s2040,"A toll booth operator's mundane life is upended when he's reassigned to a remote spot, where he finds intriguing strangers — and a new side to himself."
s2041,Optimus Prime and the AllSpark are missing – and only a memory-scrambled Bumblebee holds the key to finding them in this animated sci-fi series.
s2042,"This dynamic documentary weaves together stories about students, educators and reformers to shed light on America's failing public school system."
s2043,"In the near future, physically powerful beings known as ""Hairies"" struggle to survive in a segregated society dominated by hostile humans."
s2044,"Fresh out of prison, an ex-con tries to save his debt-ridden brother and the family pub until local mobsters draw him back to a criminal underworld."
s2045,Commander Emma Green leaves behind her husband and daughter to lead an international crew of astronauts on a perilous three-year mission to Mars.
s2046,Nothing is as it seems when a woman experiencing misgivings about her new boyfriend joins him on a road trip to meet his parents at their remote farm.
s2047,"With their clashing demands, the mothers of both bride and groom turn wedding prep into comical chaos in this sequel to “Keeping Up With the Kandasamys.”"
s2048,A new chapter begins for Lucky and her friends as they leave Miradero behind to live and learn at the prestigious Palomino Bluffs Riding Academy.
s2049,"A disillusioned security guard transforms into a masquerade, channeling ancestral spirits as he roams the streets of Lagos."
s2050,"Pong, a corporate assistant, poses as his company’s president in order to help Georgina, a marketing executive, close a crucial business deal."
s2051,Brazilian comedian Afonso Padilha dives into his humble beginnings and digs out hilarious stories about his childhood in this very personal set.
s2052,A devoted nun who cares for her elder sisters must choose between upholding her vows or pursuing her forbidden feelings for a fascinating pastor.
s2053,Sparks fly when a crusading but cash-strapped attorney takes on a charming client looking to sue a dating site that guarantees its users will find love.
s2054,"An incendiary hate crime stirs civil unrest, fast-tracking rookie cop Kurt Wallander to detective in this origin story for the popular character."
s2055,"The Emmy-nominated series delves into the juicy, smoky world of barbecue, visiting acclaimed chefs and pitmasters in the US, Australia and Mexico."
s2056,"Tipped by a mysterious tramp, a meek fry cook discovers she has superpowers — and kindred spirits — and uncovers an unsavory, widespread conspiracy."
s2057,"Placed in a foster home that doesn't allow pets, 16-year-old Andi and her younger brother Bruce turn an abandoned hotel into a home for their dog."
s2058,"From the preparations to the performances, this documentary showcases Vietnamese pop idol Son Tùng M-TP and the passion behind his Sky Tour concerts."
s2059,"With series creator Lauren S. Hissrich as your guide, take an in-depth journey into the stories and themes powering the first season of ""The Witcher."""
s2060,A young couple’s sailing adventure becomes a fight to survive when their yacht faces a catastrophic hurricane in this story based on true events.
s2061,"After being unexpectedly dumped by their respective lovers, a man and a woman have a chance meeting at a resort and embark on a unique relationship."
s2062,"Through music and magic, Barbie learns what it's like to be a modern princess when she trades places with a royal lookalike."
s2063,"Determined to throw off the curse of being Satan's illegitimate son, Rin enters the True Cross Academy to become an exorcist, just like his mentor."
s2064,"Celebrity readers share children's books by Black authors to spark kid-friendly conversations about empathy, equality, self-love and antiracism."
s2065,A shocking turn of events puts Birgitte Nyborg in the Danish prime minister's seat as her country's first female leader in this landmark drama.
s2066,"Ruka spends her summer at the aquarium, where she’s drawn into an enigmatic aquatic event alongside two mysterious boys raised in the ocean."
s2067,"Satoru Fujinuma can travel back in time to save others' lives. When he wakes up 18 years in the past, he has a chance to save his murdered classmates."
s2068,"Discovering that humanity is facing extinction, a new recruit to the Chaldea Security Organization goes back in time in order to save the future."
s2069,"Two live performances, one in English and one in Spanish. No matter the language, Felipe Esparza is muy muy."
s2070,"At a dysfunctional hospital in Paris, three bumbling, eccentric medical employees embark on zany misadventures with surgical imprecision."
s2071,A plucky young orphan sent to live with her grandfather in the mountains discovers wonder and adventure around every corner.
s2072,The fabled feline heads to the Land of Giants with friends Humpty Dumpty and Kitty Softpaws on a quest to nab its greatest treasure: the Golden Goose.
s2073,"Eager to hook up with a woman he met online, 18-year-old Ian embarks on an epic road trip that speeds straight toward trouble in this raunchy comedy."
s2074,"Separated at birth, twin sisters Tia Landry and Tamera Campbell reunite after 14 years and soon move in together, blending families and personalities."
s2075,"On the run from Indian police, a mysterious man escapes to Australia and falls in love with the daughter of an Indian criminal who lives there."
s2076,"Through firsthand accounts and analysis, this football documentary details the dominance of FC Barcelona from 2008-2012 under manager Pep Guardiola."
s2077,Think you've got what it takes to be the boss? This interactive special puts your skills to the test and matches you up with one of 16 jobs at Baby Corp.
s2078,"One football match on a dirt pitch near Rome becomes a day of reckoning as a young player, his coach and their team's owner wrestle internal demons."
s2079,"When three gifted kids learn that their isolated orphanage isn’t the haven they thought, they vow to lead the other children in a risky escape plan."
s2080,"When evil Gargamel tries to capture them, the Smurfs flee their woodland home, pass through a magic portal and find themselves stranded in New York."
s2081,"This animated children's series follows the adventures of Thomas, a cheerful blue tank engine who lives on the island of Sodor."
s2082,"When a giant Grippity-Grab snags Grizelda’s friendship bracelet and turns her into a mermaid, True heads under the sea with magic wishes to save the day."
s2083,"When his unlucky horoscope doesn’t bode well for his future wife, an earnest bachelor goes to surprising lengths to get the family he’s always wanted."
s2084,"French and Sue have two days to collect on three debts, using as much force as it takes – all while evading the wrath of a crime lord out for revenge."
s2085,"An optimistic, talented teen clings to a huge secret: She's homeless and living on a bus. When tragedy strikes, can she learn to accept a helping hand?"
s2086,"In this crime docuseries spinoff, a convict is paroled 30 years after being sentenced to death for murder. Then he makes a stunning confession."
s2087,"Real life mom-daughter duo Neena and Masaba Gupta play versions of themselves in this playful, fictional peek into their lives in fashion and film."
s2088,Two brothers — one a narcotics agent and the other a general — finally discover the identity of the drug lord who murdered their parents decades ago.
s2089,A very chiseled but somber detective must find a serial killer who leaves clues that only his mentor's nerdy comics-loving son can decipher.
s2090,"Frustrated with her thankless office job, Retsuko the Red Panda copes with her daily struggles by belting out death metal karaoke after work."
s2091,A 17-year-old confronts confusion and heartbreak as he rediscovers his sexuality in this story about coming out and its social consequences.
s2092,A group of university students decides to test an urban legend about the ghost of a female student that haunts a campus bridge.
s2093,"Tormented by a demon and on the run from a Roman centurion, a 7-year-old Jesus and his parents, Mary and Joseph, flee Egypt for Nazareth."
s2094,"Nearly 30 years after her mom's murder, a political strategist launches a calculated plan to ruin the Colombian presidential candidate who killed her."
s2095,An undocumented trans woman seeking legal status in the US becomes romantically involved with the grandson of the elderly woman she cares for.
s2096,"Journey into the extraordinary world of ""The Witcher"" — from casting the roles to Jaskier's catchy song — in this behind-the-scenes look at the series."
s2097,The competition is fierce — and the drama undeniable — as a group of young and hungry agents try to seal the deal on luxury listings in the Hamptons.
s2098,"Elite athletes and insiders reflect on the Paralympic Games and examine how they impact a global understanding of disability, diversity and excellence."
s2099,"Science-loving host Emily Calandrelli makes STEAM fun with activities, demonstrations and at-home experiments that'll make you think — and blow your mind!"
s2100,A grieving teen finds an unexpected connection with two classmates at her new high school after they all land in the same Shoplifters Anonymous group.
s2101,"In post-revolution Tehran, a wealthy Jewish businessman is summarily jailed and tortured, but along with his wife, he fights for answers and freedom."
s2102,"Couples go on a romantic getaway to test their relationships, not knowing their families are calling the shots and cringing over their every move."
s2103,"After a newly rich family moves into an upper-class neighborhood, they try to keep their matriarch's obsessive pursuit of social acceptance in check."
s2104,"Demoted to an academy job, a cop trains five foolhardy students as assassins in his risky revenge plot against police corruption and the underworld."
s2105,"In search of his sister, a renegade criminal seeks answers at a sordid hotel where he encounters a sinister guest and romances a mysterious waitress."
s2106,A foul-mouthed high school basketball coach is sure he'll hit the big leagues if he can only turn his terrible team around. Good luck with that.
s2107,"Old-school auto collector Mike Hall, his pal Avery Shoaf and son Connor Hall go the extra mile to restore retro cars – and hopefully turn a profit."
s2108,What do you do if your parents are kidnapped by a crew of international thieves? You begin a wild overnight adventure — complete with spy gear.
s2109,"When night falls on the city, shadows and spirits come alive in this horror anthology series centered on urban legends."
s2110,"A rural electronics whiz broadcasts radio signals into space and monitors for signs of aliens, but makes a more important connection here on Earth."
s2111,"When his former partners vote to sell off a pricey piece of stolen jewelry, a thief recruits his grandson to help him retain it and repent for his deed."
s2112,"When her son is accused of raping and trying to murder his ex-wife, Alicia embarks on a journey that will change her life forever."
s2113,Rascal Flatts bassist Jay DeMarcus and ex-beauty queen Allison DeMarcus write their own rules for juggling family and fun in this reality show.
s2114,"This docuseries traces the history of classic video games, featuring insights from the innovators who brought these worlds and characters to life."
s2115,"Little Singham’s biggest enemy, the demon Kaal, is back and badder than ever — but this time, will he succeed in destroying the world’s best kid cop?"
s2116,Two desperate parents go to extreme lengths to hide their dire financial straits from their daughter and friends.
s2117,"When their respective parents oppose their union, a newly engaged couple learns that the reasons for pushback run deeper than just tribal differences."
s2118,"When staff salaries get stolen at his school, a reluctant new teacher sets out to recoup the money and soon discovers the joys of teaching."
s2119,Two teens work at a game store as a front for their actual job: Hunting video game monsters who've broken out into the real world.
s2120,"Through the lens of faiths and cultures in seven provinces in Indonesia, this documentary follows individuals who strive to address climate change."
s2121,"The musical version of Victor Hugo's epic tale of love and sacrifice, first produced for the stage in 1985, now receives the big-screen treatment."
s2122,"In the 18th century, apprentice exorcist Tom Ward is the lynchpin in a battle between good and evil when imprisoned witch Mother Malkin escapes."
s2123,"With the help of a gutsy female detective, a prosecutor who has lost the ability to feel empathy tackles a murder case amid political corruption."
s2124,"After experiencing a tragic loss, a woman must resist a new family dynamic that could control the future of her father's company and her life."
s2125,"Independent, outspoken and adored by her students, schoolteacher Rita fares less well with adults in this comedy-drama from Denmark."
s2126,"In Jeddah, Saudi Arabia, a young aspiring filmmaker and his circle of friends grapple with family expectations, gender roles, romance and rivalry."
s2127,"To protect his family from ruin, Yogesh must marry his dream girl in only ten days, so he rushes into dating women with different astrological signs."
s2128,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor."
s2129,"With highlights from the 2020 tourney, this program offers an inside look at the global showcase for women's cricket — the ICC Women's T20 World Cup."
s2130,A teen gamer is forced to level up to full-time babysitter when his favorite video game drops three superpowered infants from space into his backyard.
s2131,"When a stubborn American teenager is sent to Nigeria by his mother, his cousin's scamming business becomes a viable option for securing a return flight."
s2132,"The Octonauts embark on an underwater adventure, navigating a set of challenging caves to help a small octopus friend return home to the Caribbean Sea."
s2133,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers."
s2134,Twin sisters Sterling and Blair balance teen life at an elite Southern high school with an unlikely new career as butt-kicking bounty hunters.
s2135,"In 1994, a team of thieves plans an ambitious heist to steal millions from Colombia's Bank of the Republic. Inspired by true events."
s2136,A female avatar who can control the elements fights to keep her city safe from the evil forces of both the physical and spiritual worlds.
s2137,A quest for freedom and legendary treasure begins when a cheerful young adventurer follows his father's footsteps to become the greatest Zoids hunter.
s2138,A teen girl is drawn to her cousin’s hedonistic lifestyle when they spend the summer together in Cannes as she learns about herself and her own values.
s2139,"In a film based on true events, an awkward but ambitious TV reporter struggles to adapt when she's ordered to focus on violent and salacious stories."
s2140,"Young and heartbroken, a New Yorker travels to Paris to escape his romantic woes but is soon drawn into another all-consuming attraction."
s2141,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?"
s2142,Flight Lieutenant Gunjan Saxena makes history in her journey from aspiring aviator to India’s first female combat pilot in the Kargil War.
s2143,"Resurrected from the 1960s animated series ""Rocky and Bullwinkle,"" canine genius Mr. Peabody and young Sherman take a dizzying ride through time."
s2144,"Former ""Saturday Night Live"" star Rob Schneider returns to the stage and shares his take on life, love and dinosaur dreams in this stand-up special."
s2145,"Worlds collide in this special event featuring familiar faces, surprise cameos and stories of spirited competition from four different comedy series."
s2146,"Six strangers share a fabulous house in Tokyo, looking for love while living under the same roof. With no script, what happens next is all up to them."
s2147,"Looking to start anew, a widow retreats with her children to her aunt's goat farm, where the ranch's manager helps her navigate country life and loss."
s2148,Three families navigate uncertainty and struggle when cancer affects their lives and presents emotional challenges that test their bonds.
s2149,"When sudden tragedy forces a deputy to step into the role of governor, she faces grueling political and personal tests in order to lead her state."
s2150,A night at a 1980s heavy metal concert hits a grisly note when new friends find themselves in the middle of a satanic murder spree.
s2151,"In this cinematic sequel to the hit TV series, Lolle has moved on from Sven and is about to marry her friend Hart – until Sven disrupts her plans."
s2152,Two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from Spain to Brazil in the 1940s.
s2153,The elite real estate brokers at The Oppenheim Group sell the luxe life to affluent buyers in LA. The drama ramps up when a new agent joins the team.
s2154,"In this karaoke competition hosted by Palina Rojinski, contestants must hit the right note for a chance to win up to 30,000 euros."
s2155,"This documentary follows a group of hunters as they grapple with the complexities, controversies, and contradictions of pursuing animals in the wild."
s2156,The Magic School Bus kids blast into orbit — and onto the International Space Station — only to find themselves on the run from a giant tardigrade!
s2157,Little animals embark on big adventures across the U.S. in a dramatic nature series that explores their hidden worlds and epic survival stories.
s2158,"Merlin’s apprentice joins Arcadia’s heroes on a time-bending adventure in Camelot, where conflict is brewing between the human, troll and magical worlds."
s2159,"Sing along and dance with Bailey, Franny, Kip, Lulu and Tilly in this collection of music videos that will get you in the mood to move and groove!"
s2160,A brilliant but clumsy high school senior vows to get into her late father’s alma mater by transforming herself and a misfit squad into dance champions.
s2161,The kids of fairy-tale characters attend a school with two cliques: those who accept their fairy-tale destinies and those who want to write their own.
s2162,Concert and behind-the-scenes footage capture life on tour for Uruguayan sensation Natalia Oreiro as she performs for packed crowds throughout Russia.
s2163,"Six years after a brutal virus wipes out most of Scandinavia's population, two siblings join a band of young survivors seeking safety – and answers."
s2164,"Inscrutable, incomparable or both? Famed French footballer Nicolas Anelka’s controversial legacy is explored in this in-depth documentary."
s2165,A busy couple tries to give their love life a boost by taking an impromptu weekend trip only to find their relationship tested in unexpected ways.
s2166,"Suspected of heinous crimes, they’ve avoided capture despite massive rewards and global investigations. A docuseries profiling the world’s most wanted."
s2167,"Cory's spending the summer at Camp Friendship with his best friend, Freddie. But jealousy flares when Freddie brings his cousin Rosie along for the ride."
s2168,"As summer returns to Malibu, Team Flounder takes to the beach to host — and unexpectedly compete in — the International Beachmaster Competition."
s2169,"Host Felipe Castanhari explores science, history, mysteries and marvels, uncovering mind-blowing facts with help from his lab buddies."
s2170,"Comedian and ""Saturday Night Live"" writer Sam Jay serves up fresh takes on relationships, travel nightmares, the audacity of white people and more."
s2171,"With unprecedented access to ICE operations, as well as moving portraits of immigrants, this docuseries takes a deep look at US immigration today."
s2172,A close crew of striving New Yorkers experiences both joy and heartache in their romantic and professional lives.
s2173,"In major debt to a loan shark, a nightclub owner who's entered in a celebrity death pool tries to murder a famous figure for half a million dollars."
s2174,"Navigating the twists and firsts of high school, Moesha juggles friendships, romance and the occasional drama while trying to keep her family together."
s2175,Everything changes for talented young gymnast Jenny Cortez when she moves with her family from Miami to Toronto to open a new gymnastics club.
s2176,"In a world where humans are divided between the land and the sea, four childhood friends from the ocean must attend middle school on the surface."
s2177,"When their leader is captured by an extremist organization, a special forces team stages a perilous rescue mission as time runs out."
s2178,"A new class of pint-sized preschoolers arrives at Pitchfork Pines, and the Super Monsters take their superpowers to the next level — the Purple Room!"
s2179,This drama series follows young dancers at the Next Step Dance Studio as they attempt to win the coveted regional dance championships.
s2180,"As World War I looms, an American nurse travels to the Ottoman Empire on a medical mission, where she clashes with a dashing lieutenant."
s2181,"Menacing in appearance but gentle at heart, Ryuji forms an unlikely friendship with Taiga, a tiny girl with a sharp tongue and a tough attitude."
s2182,"As part of the first class at the Rescue Bots Academy, five Cybertron recruits train under their skilled teachers and take on daring rescue missions."
s2183,"Tumi Morake dishes out hot takes and fiery commentary about the concept of identity, politics, family life, weaves, and more in this stand-up special."
s2184,A couple's romantic anniversary retreat to a rural cabin unravels when a childhood friend appears and reveals long-held secrets from the past.
s2185,"In a secret act of skillful revenge, four private school classmates team up and work together to expose a string of schoolwide injustices."
s2186,"When a greedy bear steals a magic stone to keep the forest’s water for himself, a brave hedgehog and a timid squirrel must work together to retrieve it."
s2187,"When a newly married landlord is murdered, a misfit cop’s investigation is complicated by the victim’s secretive family and his own conflicted heart."
s2188,"While her free-living bestie urges her to embrace singlehood, a commitment-craving social media expert can't stop following the life of a former love."
s2189,"Talented sugar artists compete for $10,000 over two rounds of competition — candy and sugar sculpture — in this ""Sugar Rush"" spinoff special."
s2190,Time's the most important ingredient as teams race against the clock – and each other – to bake up the best-tasting sweets.
s2191,"Reunited by their father's death, estranged siblings with extraordinary powers uncover shocking family secrets – and a looming threat to humanity."
s2192,"High in the Andes, a teenage boy and his father work together as artisans. But their bond is shattered when the son learns of his father's secret life."
s2193,"As the Autobots and Decepticons ravage their planet in a brutal civil war, two iconic leaders emerge in the Transformers universe's origin story."
s2194,"Defeated and humiliated in a fight while trying to defuse a conflict among his fellow villagers, a photographer vows revenge on his attacker."
s2195,"In this remake of the Korean series, a man becomes mired in the lives of two women who happen to share the same name."
s2196,"After a man promises his fiancé a dream wedding, he must keep up with her outrageous requests to have the most lavish ceremony possible."
s2197,"Newly released from prison, a man returning to his girlfriend and their child subsequently learns about a dangerous debt taken by his late mother."
s2198,"A Nigerian musician travels to Brazil to search for his estranged brother, who is living a life very different than the one his family thought."
s2199,A duplicitous young man finds success in the dark world of social media smear tactics — but his virtual vitriol soon has violent real-life consequences.
s2200,This documentary captures the extraordinary twists and turns in the journeys of Rubik's Cube-solving champions Max Park and Feliks Zemdegs.
s2201,This documentary reconstructs the pivotal moments that drove a man on a rampage to destroy a small town with a bulldozer he fortified in secret.
s2202,"In a docuseries set at one of NCAA football's most fertile recruiting grounds, guys with red flags seek to prove their worth on the field and in class."
s2203,"Despite leaving for college, a heartsick teen tries to build a new friendship with a kindred spirit even though she's dating her ex-boyfriend."
s2204,This dramedy based on a British series centers on siblings in a dysfunctional Chicago family who struggle while coping with their alcoholic father.
s2205,"When a matriarch wakes from a 30-year coma, her wacky family frantically recreates a bygone era to keep her from noticing how much time has passed."
s2206,"Keen to bring honor to his clan, young villager Dong Yilong embarks on a perilous journey to compete in a tournament that selects warriors for battle."
s2207,"After his son’s suicide, a debt-ridden farmer seeks justice from the government. But as his pleas are mocked and rebuffed, his own will to live erodes."
s2208,"Enchanted animal crackers turn Owen into whatever shape he eats! But to save the family circus, he'll have to keep them out of his evil uncle's hands."
s2209,"When a musical dragon with a beautiful voice hypnotizes the dragons and people of Huttsgalor, the Rescue Riders have to find a way to break the spell."
s2210,A bullied teenager gravitates toward the acceptance he finds in a street gang but soon ends up involved in a world of drug abuse and organized crime.
s2211,"Amaia investigates several suspicious infant deaths and horrific rituals. Meanwhile, people around her risk grave danger. Part 3 in the Baztan Trilogy."
s2212,"Love came naturally for married couple Sonoko and Tetsuo. But his secret profession as a love doll designer clashes with her deeper, darker secret."
s2213,"In this fast-paced, high-energy karaoke competition, singers from all walks of life battle it out for up to 30,000 euros!"
s2214,"With college decisions looming, Elle juggles her long-distance romance with Noah, changing relationship with bestie Lee and feelings for a new classmate."
s2215,"Legendary crooner Frank Sinatra's life and talent are captured in this documentary series featuring fond memories from friends, family and colleagues."
